0	0	8
0	1	33
0	2	1
0	3	0
1	0	0
1	1	9
1	2	0
1	3	0
2	0	28
2	1	120
2	2	0
2	3	0
3	0	32
3	1	33
3	2	5
3	3	0
4	0	0
4	1	0
4	2	0
4	3	0
5	0	0
5	1	0
5	2	0
5	3	0
6	0	0
6	1	0
6	2	0
6	3	0
7	0	0
7	1	0
7	2	0
7	3	0
8	0	16
8	1	39
8	2	16
8	3	39
9	0	0
9	1	0
9	2	0
9	3	0
10	0	0
10	1	0
10	2	0
10	3	0
11	0	0
11	1	0
11	2	0
11	3	0
12	0	0
12	1	0
12	2	255
12	3	15
13	0	0
13	1	0
13	2	0
13	3	0
14	0	0
14	1	0
14	2	255
14	3	15
15	0	0
15	1	0
15	2	0
15	3	0
16	0	0
16	1	0
16	2	255
16	3	15
17	0	0
17	1	0
17	2	0
17	3	0
18	0	0
18	1	0
18	2	255
18	3	15
19	0	0
19	1	0
19	2	0
19	3	0
20	0	0
20	1	0
20	2	255
20	3	15
21	0	0
21	1	0
21	2	0
21	3	0
22	0	0
22	1	0
22	2	255
22	3	15
23	0	0
23	1	0
23	2	0
23	3	0
24	0	0
24	1	0
24	2	255
24	3	15
25	0	0
25	1	0
25	2	0
25	3	0
26	0	0
26	1	0
26	2	255
26	3	15
